"sn","seqno","antenna","command","commandstring","count","count_rssi","count_start","count_transfer","device_ip","device_mac","tid","epc","max_rssi","min_rssi","offline_data","operation","output_mode","rssi","timestamp","usr","version","received","count_gap","interval_time","rssi_average","rssi_median","speed_average","speed_gap","speed_median","rawdata"
"1452189","66528","1","35","URC_CMD_RFID_Inven_Receive","1","-51","2023-11-29 18:19:00.747","2023-11-29 18:19:00.747","192.168.249.52","4e:00:24:52:9b:06","E280110520007B8EA6AD0A68","BBBBBBBBBBBBBB0000000010","-50.8","-50.8","0","0","1","-50.8","2023-11-29 18:18:59.817",,"10002","2023-11-29 18:19:02.089","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-51,""count_start"":1701253140747,""count_transfer"":1701253140747,""device_id"":""AL800-249-052"",""device_ip"":""192.168.249.52"",""device_mac"":""4e:00:24:52:9b:06"",""epc"":""BBBBBBBBBBBBBB0000000010"",""interval"":1000,""max_rssi"":-5080,""min_rssi"":-5080,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-5080,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":66528,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E280110520007B8EA6AD0A68"",""timestamp"":1701253139817,""usr"":"""",""version"":10002}"
"1452190","94818","1","35","URC_CMD_RFID_Inven_Receive","1","-25","2020-11-27 12:11:17.607","2020-11-27 12:11:17.607","192.168.249.53","44:00:21:25:2c:aa","E28011052000784EA6A20A68","AAAAAAAAAAAAAAFE300000CE","-25","-25","0","0","1","-25","2020-11-27 12:11:17.598",,"10002","2023-11-29 18:19:02.094","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-25,""count_start"":1606450277607,""count_transfer"":1606450277607,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.53"",""device_mac"":""44:00:21:25:2c:aa"",""epc"":""AAAAAAAAAAAAAAFE300000CE"",""interval"":1000,""max_rssi"":-2500,""min_rssi"":-2500,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2500,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":94818,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000784EA6A20A68"",""timestamp"":1606450277598,""usr"":"""",""version"":10002}"
"1452191","94819","1","35","URC_CMD_RFID_Inven_Receive","1","-56","2020-11-27 12:11:17.616","2020-11-27 12:11:17.616","192.168.249.53","44:00:21:25:2c:aa","E28011052000750EA69B0A68","AAAAAAAAAAAAAAFB300000CB","-55.1","-55.1","0","0","1","-55.1","2020-11-27 12:11:17.609",,"10002","2023-11-29 18:19:02.094","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-56,""count_start"":1606450277616,""count_transfer"":1606450277616,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.53"",""device_mac"":""44:00:21:25:2c:aa"",""epc"":""AAAAAAAAAAAAAAFB300000CB"",""interval"":1000,""max_rssi"":-5510,""min_rssi"":-5510,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-5510,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":94819,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000750EA69B0A68"",""timestamp"":1606450277609,""usr"":"""",""version"":10002}"
"1452192","62023","1","35","URC_CMD_RFID_Inven_Receive","1","-29","2020-11-27 12:15:47.273","2020-11-27 12:15:47.273","192.168.249.51","14:00:8b:c2:27:f9","E28011052000764EA6920A68","AAAAAAAAAAAAAA11300000E0","-28.3","-28.3","0","0","1","-28.3","2020-11-27 12:15:47.264",,"10002","2023-11-29 18:19:02.100","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-29,""count_start"":1606450547273,""count_transfer"":1606450547273,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.51"",""device_mac"":""14:00:8b:c2:27:f9"",""epc"":""AAAAAAAAAAAAAA11300000E0"",""interval"":1000,""max_rssi"":-2830,""min_rssi"":-2830,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2830,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":62023,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000764EA6920A68"",""timestamp"":1606450547264,""usr"":"""",""version"":10002}"
"1452193","62024","1","35","URC_CMD_RFID_Inven_Receive","1","-29","2020-11-27 12:15:47.281","2020-11-27 12:15:47.281","192.168.249.51","14:00:8b:c2:27:f9","E28011052000764EA6920A68","AAAAAAAAAAAAAA11300000E0","-28.3","-28.3","0","0","1","-28.3","2020-11-27 12:15:47.281",,"10002","2023-11-29 18:19:02.100","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-29,""count_start"":1606450547281,""count_transfer"":1606450547281,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.51"",""device_mac"":""14:00:8b:c2:27:f9"",""epc"":""AAAAAAAAAAAAAA11300000E0"",""interval"":1000,""max_rssi"":-2830,""min_rssi"":-2830,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2830,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":62024,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000764EA6920A68"",""timestamp"":1606450547281,""usr"":"""",""version"":10002}"
"1452194","62025","1","35","URC_CMD_RFID_Inven_Receive","1","-30","2020-11-27 12:15:47.303","2020-11-27 12:15:47.303","192.168.249.51","14:00:8b:c2:27:f9","E28011052000754EA6920A68","AAAAAAAAAAAAAA11300000E0","-29.5","-29.5","0","0","1","-29.5","2020-11-27 12:15:47.302",,"10002","2023-11-29 18:19:02.100","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-30,""count_start"":1606450547303,""count_transfer"":1606450547303,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.51"",""device_mac"":""14:00:8b:c2:27:f9"",""epc"":""AAAAAAAAAAAAAA11300000E0"",""interval"":1000,""max_rssi"":-2950,""min_rssi"":-2950,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2950,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":62025,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000754EA6920A68"",""timestamp"":1606450547302,""usr"":"""",""version"":10002}"
"1452195","66529","1","35","URC_CMD_RFID_Inven_Receive","1","-23","2023-11-29 18:19:00.755","2023-11-29 18:19:00.755","192.168.249.52","4e:00:24:52:9b:06","E28011052000768EA6920A68","AAAAAAAAAAAAAA12300000E1","-22.5","-22.5","0","0","1","-22.5","2023-11-29 18:18:59.848",,"10002","2023-11-29 18:19:02.117","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-23,""count_start"":1701253140755,""count_transfer"":1701253140755,""device_id"":""AL800-249-052"",""device_ip"":""192.168.249.52"",""device_mac"":""4e:00:24:52:9b:06"",""epc"":""AAAAAAAAAAAAAA12300000E1"",""interval"":1000,""max_rssi"":-2250,""min_rssi"":-2250,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2250,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":66529,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000768EA6920A68"",""timestamp"":1701253139848,""usr"":"""",""version"":10002}"
"1452196","66530","1","35","URC_CMD_RFID_Inven_Receive","1","-51","2023-11-29 18:19:00.764","2023-11-29 18:19:00.764","192.168.249.52","4e:00:24:52:9b:06","E280110520007B8EA6AD0A68","BBBBBBBBBBBBBB0000000010","-50.8","-50.8","0","0","1","-50.8","2023-11-29 18:18:59.859",,"10002","2023-11-29 18:19:02.117","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-51,""count_start"":1701253140764,""count_transfer"":1701253140764,""device_id"":""AL800-249-052"",""device_ip"":""192.168.249.52"",""device_mac"":""4e:00:24:52:9b:06"",""epc"":""BBBBBBBBBBBBBB0000000010"",""interval"":1000,""max_rssi"":-5080,""min_rssi"":-5080,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-5080,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":66530,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E280110520007B8EA6AD0A68"",""timestamp"":1701253139859,""usr"":"""",""version"":10002}"
"1452197","66531","1","35","URC_CMD_RFID_Inven_Receive","1","-51","2023-11-29 18:19:00.775","2023-11-29 18:19:00.775","192.168.249.52","4e:00:24:52:9b:06","E280110520007B8EA6AD0A68","BBBBBBBBBBBBBB0000000010","-50.8","-50.8","0","0","1","-50.8","2023-11-29 18:18:59.872",,"10002","2023-11-29 18:19:02.118","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-51,""count_start"":1701253140775,""count_transfer"":1701253140775,""device_id"":""AL800-249-052"",""device_ip"":""192.168.249.52"",""device_mac"":""4e:00:24:52:9b:06"",""epc"":""BBBBBBBBBBBBBB0000000010"",""interval"":1000,""max_rssi"":-5080,""min_rssi"":-5080,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-5080,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":66531,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E280110520007B8EA6AD0A68"",""timestamp"":1701253139872,""usr"":"""",""version"":10002}"
"1452198","94820","1","35","URC_CMD_RFID_Inven_Receive","1","-59","2020-11-27 12:11:17.626","2020-11-27 12:11:17.626","192.168.249.53","44:00:21:25:2c:aa","E280110520007B8EA6970A68","AAAAAAAAAAAAAAB630000086","-59","-59","0","0","1","-59","2020-11-27 12:11:17.620",,"10002","2023-11-29 18:19:02.131","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-59,""count_start"":1606450277626,""count_transfer"":1606450277626,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.53"",""device_mac"":""44:00:21:25:2c:aa"",""epc"":""AAAAAAAAAAAAAAB630000086"",""interval"":1000,""max_rssi"":-5900,""min_rssi"":-5900,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-5900,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":94820,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E280110520007B8EA6970A68"",""timestamp"":1606450277620,""usr"":"""",""version"":10002}"
