"id","app_id","device_ip","device_port","device_mac","related_id","name","antennas","state","link","work","driver","action_cmd","actual_state","temperature_pa","temperature_rf","temperature_sys","connected","updated","received","rawdata"
"87","1f043694-e510-4513-ba7d-3351fed66401","192.168.19.31","11001","00:0c:43:e1:76:2a","5b7104df-279b-4cc3-a970-71417ca261da",,NULL,"0",NULL,NULL,,"-1","-1","48","48","48","2023-09-08 17:12:47","2023-09-26 05:43:18","2023-09-08 17:12:47.000000","{""antenna"":1,""command"":240,""commandstring"":""keepalivestring"",""count"":0,""count_rssi"":0,""count_start"":1692695844,""count_transfer"":1692695855,""device_ip"":""192.168.19.31"",""device_mac"":""00:0c:43:e1:76:2a"",""epc"":""000000000000000000000000"",""max_rssi"":0,""min_rssi"":0,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":0,""temperature_pa"":""48"",""temperature_rf"":""48"",""temperature_sys"":""48"",""tid"":""0000000000"",""timestamp"":1692695844,""usr"":"""",""version"":10000}"
"91","294b2ac1-ce5b-4961-afa4-a2d98a8aba09","192.168.249.51","59324","14:00:8b:c2:27:f9","2b865fac-5aec-4933-8485-dec84db8bd91",,NULL,"0",NULL,"22",,"-1","-1","47","56","56","2023-11-29 17:53:44","2023-11-29 17:53:44","2023-11-29 17:53:44.733000","{""antenna"":1,""command"":240,""commandstring"":""keepalivestring"",""count"":1,""count_gap"":9999,""count_rssi"":0,""count_start"":1606449019000,""count_transfer"":1606449030000,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.51"",""device_mac"":""14:00:8b:c2:27:f9"",""epc"":""0000000000000000000000000"",""interval"":9999,""max_rssi"":-2000,""min_rssi"":-2000,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2000,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":0,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""temperature_pa"":""47"",""temperature_rf"":""56"",""temperature_sys"":""56"",""tid"":""0000000000000000000000000"",""timestamp"":1606449019000,""usr"":"""",""version"":10002}"
"93","4677133e-df47-4211-9eb5-f8a449f04762","192.168.249.52","40756","00:00:c0:50:5f:17","2b865fac-5aec-4933-8485-dec84db8bd91",,NULL,"0",NULL,NULL,,"-1","-1","0","0","0","2023-11-14 15:48:00","2023-11-14 15:48:00","2023-11-14 15:48:00.300000","{""antenna"":1,""command"":240,""commandstring"":""keepalivestring"",""count"":1,""count_gap"":9999,""count_rssi"":0,""count_start"":1606196799000,""count_transfer"":1606196810000,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.52"",""device_mac"":""00:00:c0:50:5f:17"",""epc"":""0000000000000000000000000"",""interval"":9999,""max_rssi"":-2000,""min_rssi"":-2000,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2000,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":0,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""temperature_pa"":""0"",""temperature_rf"":""0"",""temperature_sys"":""0"",""tid"":""0000000000000000000000000"",""timestamp"":1606196799000,""usr"":"""",""version"":10002}"
"61","111111","192.168.249.53","11001",NULL,NULL,"device005",NULL,NULL,NULL,"22","device001","1","1",NULL,"0","0","2023-08-28 06:22:54","2023-09-24 15:17:39","2023-09-06 19:14:36.015000",NULL
"41","a4c46372-be55-45a0-bac0-15eef78feba6","192.168.249.54","11001","b0:02:4d:77:4a:07","2b865fac-5aec-4933-8485-dec84db8bd91",,NULL,"0",NULL,"22","device001","1","1","58","65","65","2023-09-23 14:03:41","2023-10-04 09:51:27","2023-09-23 22:03:41.993000","{""antenna"":1,""command"":240,""commandstring"":""keepalivestring"",""count"":0,""count_gap"":9999,""count_rssi"":0,""count_start"":1695477810000,""count_transfer"":1695477821000,""device_ip"":""192.168.249.54"",""device_mac"":""b0:02:4d:77:4a:07"",""epc"":""000000000000000000000000"",""interval"":9999,""max_rssi"":-2000,""min_rssi"":-2000,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2000,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":0,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""temperature_pa"":""58"",""temperatu"
